x,y,z,gradx,grady
-0.470000,-0.470000,0,0.501665,-7.356269
-0.470000,-0.460000,0,0.340153,133.398916
-0.470000,-0.450000,0,0.168227,-7.668547
-0.470000,-0.440000,0,-0.014537,-7.823498
-0.470000,-0.430000,0,-0.208554,-7.976944
-0.470000,-0.420000,0,-0.414226,-8.128284
-0.470000,-0.410000,0,-0.631944,-8.276859
-0.470000,-0.400000,0,-0.862076,-8.421952
-0.470000,-0.390000,0,-1.104964,-8.562788
-0.470000,-0.380000,0,-1.360918,-8.698526
-0.470000,-0.370000,0,-1.630206,-8.828263
-0.470000,-0.360000,0,-1.913052,-8.951032
-0.470000,-0.350000,0,-2.209622,-9.065801
-0.470000,-0.340000,0,-2.520019,-9.171475
-0.470000,-0.330000,0,-2.844272,-9.266898
-0.470000,-0.320000,0,-3.182325,-9.350854
-0.470000,-0.310000,0,-3.534030,-9.422073
-0.470000,-0.300000,0,-3.899135,-9.479237
-0.470000,-0.290000,0,-4.277271,-9.520983
-0.470000,-0.280000,0,-4.667947,-9.545916
-0.470000,-0.270000,0,-5.070534,-9.552619
-0.470000,-0.260000,0,-5.484260,-9.539661
-0.470000,-0.250000,0,-5.908197,-9.505615
-0.470000,-0.240000,0,-6.341258,-9.449072
-0.470000,-0.230000,0,-6.782187,-9.368660
-0.470000,-0.220000,0,-7.229555,-9.263062
-0.470000,-0.210000,0,-7.681762,-9.131036
-0.470000,-0.200000,0,1.461538,-8.971441
-0.470000,-0.190000,0,-8.593416,354.736681
-0.470000,-0.180000,0,-9.048806,365.213471
-0.470000,-0.170000,0,-9.500938,13.229572
-0.470000,-0.160000,0,-9.947407,15.868172
-0.470000,-0.150000,0,-10.385687,19.257738
-0.470000,-0.140000,0,-10.813149,23.685580
-0.470000,-0.130000,0,-11.227090,29.581656
-0.470000,-0.120000,0,-11.624761,37.608486
-0.470000,-0.110000,0,-12.003399,48.822124
-0.470000,-0.100000,0,-12.360260,64.974010
-0.470000,-0.090000,0,-12.692661,89.108911
-0.470000,-0.080000,0,-12.998016,126.829268
-0.470000,-0.070000,0,-13.273876,189.189189
-0.470000,-0.060000,0,-13.517968,300.000000
-0.470000,-0.050000,0,-13.728232,516.693164
-0.470000,-0.040000,0,-13.902860,1000.000000
-0.470000,-0.030000,0,-14.040322,2294.117647
-0.470000,-0.020000,0,-14.139400,6500.000000
-0.470000,-0.010000,0,-14.199207,13000.000000
-0.470000,0.000000,0,-14.219203,0.000000
-0.470000,0.010000,0,-14.199207,-13000.000000
-0.470000,0.020000,0,-14.139400,-6500.000000
-0.470000,0.030000,0,-14.040322,-2294.117647
-0.470000,0.040000,0,-13.902860,-1000.000000
-0.470000,0.050000,0,-13.728232,-516.693164
-0.470000,0.060000,0,-13.517968,-300.000000
-0.470000,0.070000,0,-13.273876,-189.189189
-0.470000,0.080000,0,-12.998016,-126.829268
-0.470000,0.090000,0,-12.692661,-89.108911
-0.470000,0.100000,0,-12.360260,-64.974010
-0.470000,0.110000,0,-12.003399,-48.822124
-0.470000,0.120000,0,-11.624761,-37.608486
-0.470000,0.130000,0,-11.227090,-29.581656
-0.470000,0.140000,0,-10.813149,-23.685580
-0.470000,0.150000,0,-21.829911,-19.257738
-0.470000,0.160000,0,-9.947407,-15.868172
-0.470000,0.170000,0,-9.500938,-13.229572
-0.470000,0.180000,0,-9.048806,-11.144980
-0.470000,0.190000,0,-8.593416,-9.476309
-0.470000,0.200000,0,-8.137031,-8.124797
-0.470000,0.210000,0,-7.681762,-7.018536
-0.470000,0.220000,0,-7.229555,-6.104329
-0.470000,0.230000,0,-6.782187,-5.342243
-0.470000,0.240000,0,-6.341258,-4.701911
-0.470000,0.250000,0,-5.908197,-4.159957
-0.470000,0.260000,0,-5.484260,-3.698192
-0.470000,0.270000,0,-5.070534,-3.302317
-0.470000,0.280000,0,-4.667947,-2.960987
-0.470000,0.290000,0,-4.277271,-2.665121
-0.470000,0.300000,0,-3.899135,-2.407396
-0.470000,0.310000,0,-3.534030,-2.181858
-0.470000,0.320000,0,-3.182325,-1.983635
-0.470000,0.330000,0,-2.844272,-1.808715
-0.470000,0.340000,0,-2.520019,-1.653771
-0.470000,0.350000,0,103.808617,-1.516031
-0.470000,0.360000,0,-1.913052,-1.393172
-0.470000,0.370000,0,-1.630206,-1.283238
-0.470000,0.380000,0,-1.360918,-1.184573
-0.470000,0.390000,0,-1.104964,-1.095768
-0.470000,0.400000,0,-0.862076,-1.015623
-0.470000,0.410000,0,-0.631944,-0.943107
-0.470000,0.420000,0,-0.414226,-0.877334
-0.470000,0.430000,0,-0.208554,-0.817537
-0.470000,0.440000,0,-0.014537,-0.763053
-0.470000,0.450000,0,0.168227,-0.713305
-0.470000,0.460000,0,0.340153,-0.667789
-0.470000,0.470000,0,0.501665,-0.626065
-0.470000,0.480000,0,0.653186,-0.587746
-0.460000,-0.490000,0,0.955551,-7.180905
-0.460000,-0.480000,0,0.814407,-7.346428
-0.460000,-0.470000,0,141.574873,-7.512788
-0.460000,-0.460000,0,0.501815,-7.679584
-0.460000,-0.450000,0,0.329423,-7.846367
-0.460000,-0.440000,0,0.145671,-8.012637
-0.460000,-0.430000,0,-0.049912,-8.177838
-0.460000,-0.420000,0,-0.257787,-8.341357
-0.460000,-0.410000,0,227.874595,-8.502519
-0.460000,-0.400000,0,233.023791,-8.660586
-0.460000,-0.390000,0,249.121458,-8.814752
-0.460000,-0.380000,0,255.126006,-8.964141
-0.460000,-0.370000,0,261.334597,-9.107809
-0.460000,-0.360000,0,267.759318,-9.244734
-0.460000,-0.350000,0,274.413943,-9.373827
-0.460000,-0.340000,0,281.314290,-9.493921
-0.460000,-0.330000,0,288.478652,-9.603780
-0.460000,-0.320000,0,295.928337,-9.702098
-0.460000,-0.310000,0,303.688331,-9.787503
-0.460000,-0.300000,0,311.788131,-9.858563
-0.460000,-0.290000,0,320.262777,-9.913793
-0.460000,-0.280000,0,329.154160,-9.951662
-0.460000,-0.270000,0,338.512663,-9.970606
-0.460000,-0.260000,0,348.399252,-9.969038
-0.460000,-0.250000,0,358.888157,-9.945365
-0.460000,-0.240000,0,370.070317,-9.898006
-0.460000,-0.230000,0,382.057868,-9.825409
-0.460000,-0.220000,0,394.990026,-9.726072
-0.460000,-0.210000,0,409.040881,0.000000
-0.460000,-0.200000,0,424.429835,-9.441575
-0.460000,-0.190000,0,441.435745,-18.852459
-0.460000,-0.180000,0,96.896396,-9.034468
-0.460000,-0.170000,0,108.056121,-8.782448
-0.460000,-0.160000,0,121.232692,-8.497177
-0.460000,-0.150000,0,136.930678,-8.178242
-0.460000,-0.140000,0,155.817568,-7.825491
-0.460000,-0.130000,0,178.788169,-7.439064
-0.460000,-0.120000,0,207.058485,-7.019404
-0.460000,-0.110000,0,242.303279,-6.567282
-0.460000,-0.100000,0,286.856617,-6.083803
-0.460000,-0.090000,0,343.995935,-5.570414
-0.460000,-0.080000,0,418.308219,-5.028903
-0.460000,-0.070000,0,516.017241,-4.461393
-0.460000,-0.060000,0,644.644144,-3.870329
-0.460000,-0.050000,0,809.323529,-3.258455
-0.460000,-0.040000,0,994.617647,-2.628788
-0.460000,-0.030000,0,975.750000,-1.984584
-0.460000,-0.020000,0,0.750000,-1.329295
-0.460000,-0.010000,0,-4300.720588,-0.666530
-0.460000,0.000000,0,-12186.750000,0.000000
-0.460000,0.010000,0,-4300.720588,0.666530
-0.460000,0.020000,0,0.750000,1.329295
-0.460000,0.030000,0,975.750000,1.984584
-0.460000,0.040000,0,1076.117647,2.628788
-0.460000,0.050000,0,961.115854,3.258455
-0.460000,0.060000,0,811.560811,3.870329
-0.460000,0.070000,0,675.750000,4.461393
-0.460000,0.080000,0,563.250000,5.028903
-0.460000,0.090000,0,472.682361,5.570414
-0.460000,0.100000,0,400.203738,6.083803
-0.460000,0.110000,0,342.005833,6.567282
-0.460000,0.120000,0,294.931034,7.019404
-0.460000,0.130000,0,256.513116,7.439064
-0.460000,0.140000,0,-29.360194,-3.618733
-0.460000,0.150000,0,198.556889,8.178242
-0.460000,0.160000,0,176.491016,19.941402
-0.460000,0.170000,0,157.830271,8.782448
-0.460000,0.180000,0,141.926471,9.034468
-0.460000,0.190000,0,128.274290,9.253890
-0.460000,0.200000,0,116.476309,9.441575
-0.460000,0.210000,0,106.217242,9.598569
-0.460000,0.220000,0,97.244845,9.726072
-0.460000,0.230000,0,89.355678,9.825409
-0.460000,0.240000,0,82.384386,9.898006
-0.460000,0.250000,0,76.195590,9.945365
-0.460000,0.260000,0,70.677682,9.969038
-0.460000,0.270000,0,65.738048,9.970606
-0.460000,0.280000,0,61.299363,9.951662
