x,y,z,gradx,grady
-0.470000,-0.130000,0,-0.041250,-0.323911
-0.470000,-0.120000,0,-0.059604,-0.305374
-0.470000,-0.110000,0,-0.077080,-0.285474
-0.470000,-0.100000,0,-0.093550,-0.264258
-0.470000,-0.090000,0,-0.108892,-0.241790
-0.470000,-0.080000,0,-0.122985,-0.218147
-0.470000,-0.070000,0,-0.135717,-0.193420
-0.470000,-0.060000,0,-0.146983,-0.167712
-0.470000,-0.050000,0,-0.156688,-0.141138
-0.470000,-0.040000,0,-0.164747,-0.113824
-0.470000,-0.030000,0,-0.171092,-0.085907
-0.470000,-0.020000,0,-0.175665,-0.057530
-0.470000,-0.010000,0,-0.178425,-0.028843
-0.470000,0.000000,0,-0.179348,0.000000
-0.470000,0.010000,0,-0.178425,0.028843
-0.470000,0.020000,0,-0.175665,0.057530
-0.470000,0.030000,0,-0.171092,0.085907
-0.470000,0.040000,0,-0.164747,0.113824
-0.470000,0.050000,0,-0.156688,0.141138
-0.470000,0.060000,0,-0.146983,0.167712
-0.470000,0.070000,0,-0.135717,0.193420
-0.470000,0.080000,0,-0.122985,0.218147
-0.470000,0.090000,0,-0.108892,0.241790
-0.470000,0.100000,0,-0.093550,0.264258
-0.470000,0.110000,0,-0.077080,0.285474
-0.470000,0.120000,0,-0.059604,0.305374
-0.470000,0.130000,0,-0.041250,0.323911
-0.470000,0.140000,0,-0.022145,0.341047
-0.470000,0.150000,0,-0.002416,0.356762
-0.470000,0.160000,0,0.017812,0.371045
-0.470000,0.170000,0,0.038418,0.383898
-0.470000,0.180000,0,0.059286,0.395336
-0.470000,0.190000,0,0.080304,0.405381
-0.470000,0.200000,0,0.101368,0.414067
-0.470000,0.210000,0,0.122380,0.421432
-0.470000,0.220000,0,0.143251,0.427526
-0.470000,0.230000,0,0.163899,0.432400
-0.470000,0.240000,0,0.184250,0.436111
-0.470000,0.250000,0,0.204237,0.438721
-0.470000,0.260000,0,0.223803,0.440292
-0.470000,0.270000,0,0.242898,0.440890
-0.470000,0.280000,0,0.261479,0.440581
-0.470000,0.290000,0,0.279511,0.439430
-0.470000,0.300000,0,0.296963,0.437503
-0.470000,0.310000,0,0.313814,0.434865
-0.470000,0.320000,0,0.330047,0.431578
-0.470000,0.330000,0,0.345649,0.427703
-0.470000,0.340000,0,0.360614,0.423299
-0.470000,0.350000,0,0.374941,0.418422
-0.470000,0.360000,0,0.388628,0.413125
-0.470000,0.370000,0,0.401683,0.407458
-0.470000,0.380000,0,0.414111,0.401470
-0.470000,0.390000,0,0.425925,0.395206
-0.470000,0.400000,0,0.437135,0.388705
-0.470000,0.410000,0,0.447756,0.382009
-0.470000,0.420000,0,0.457805,0.375152
-0.470000,0.430000,0,0.467298,0.368167
-0.470000,0.440000,0,0.476252,0.361085
-0.470000,0.450000,0,0.484687,0.353933
-0.470000,0.460000,0,0.492622,0.346737
-0.470000,0.470000,0,0.500077,0.339520
-0.470000,0.480000,0,0.507070,0.332303
-0.470000,0.490000,0,0.513622,0.325103
-0.460000,-0.490000,0,0.521025,-0.331426
-0.460000,-0.480000,0,0.514511,-0.339066
-0.460000,-0.470000,0,0.507538,-0.346744
-0.460000,-0.460000,0,0.500084,-0.354442
-0.460000,-0.450000,0,0.492127,-0.362140
-0.460000,-0.440000,0,0.483646,-0.369814
-0.460000,-0.430000,0,0.474619,-0.377439
-0.460000,-0.420000,0,0.465025,-0.384986
-0.460000,-0.410000,0,0.454843,-0.392424
-0.460000,-0.400000,0,0.444053,-0.399719
-0.460000,-0.390000,0,0.432636,-0.406835
-0.460000,-0.380000,0,0.420575,-0.413730
-0.460000,-0.370000,0,0.407854,-0.420360
-0.460000,-0.360000,0,0.394460,-0.426680
-0.460000,-0.350000,0,0.380382,-0.432638
-0.460000,-0.340000,0,0.365612,-0.438181
-0.460000,-0.330000,0,0.350146,-0.443251
-0.460000,-0.320000,0,0.333983,-0.447789
-0.460000,-0.310000,0,0.317128,-0.451731
-0.460000,-0.300000,0,0.299589,-0.455011
-0.460000,-0.290000,0,0.281383,-0.457560
-0.460000,-0.280000,0,0.262529,-0.459307
-0.460000,-0.270000,0,0.243056,-0.460182
-0.460000,-0.260000,0,0.222999,-0.460109
-0.460000,-0.250000,0,0.202401,-0.459017
-0.460000,-0.240000,0,0.181313,-0.456831
-0.460000,-0.230000,0,0.159795,-0.453480
-0.460000,-0.220000,0,0.137917,-0.448896
-0.460000,-0.210000,0,0.115755,-0.443011
-0.460000,-0.200000,0,0.093398,-0.435765
-0.460000,-0.190000,0,0.070941,-0.427103
-0.460000,-0.180000,0,0.048489,-0.416975
-0.460000,-0.170000,0,0.026155,-0.405344
-0.460000,-0.160000,0,0.004061,-0.392177
-0.460000,-0.150000,0,-0.017666,-0.377457
-0.460000,-0.140000,0,-0.038893,-0.361177
-0.460000,-0.130000,0,-0.059481,-0.343341
-0.460000,-0.120000,0,-0.079290,-0.323972
-0.460000,-0.110000,0,-0.098178,-0.303105
-0.460000,-0.100000,0,-0.116004,-0.280791
-0.460000,-0.090000,0,-0.132628,-0.257096
-0.460000,-0.080000,0,-0.147917,-0.232103
-0.460000,-0.070000,0,-0.161742,-0.205910
-0.460000,-0.060000,0,-0.173987,-0.178631
-0.460000,-0.050000,0,-0.184543,-0.150390
-0.460000,-0.040000,0,-0.193315,-0.121329
-0.460000,-0.030000,0,-0.200224,-0.091596
-0.460000,-0.020000,0,-0.205206,-0.061352
