x,y,xVel,yVel
0.004365,0.448322,1.246084,-0.014530
0.002062,0.448060,1.247122,-0.006878
0.002984,0.453228,1.230132,-0.009616
0.002693,0.450742,1.238226,-0.008821
0.002895,0.450165,1.240107,-0.009520
0.003505,0.457591,1.216243,-0.010972
0.004163,0.457575,1.216240,-0.013034
0.000563,0.457449,1.216810,-0.001765
0.002552,0.460242,1.208073,-0.007852
0.004072,0.461923,1.202830,-0.012392
0.003188,0.462261,1.201868,-0.009682
0.000720,0.467065,1.187595,-0.002120
0.001235,0.467034,1.187679,-0.003637
0.000087,0.468588,1.183139,-0.000254
0.002869,0.474065,1.167372,-0.008077
0.002913,0.472234,1.172555,-0.008299
0.002387,0.474976,1.164837,-0.006682
0.000294,0.475371,1.163781,-0.000820
0.003204,0.477986,1.156450,-0.008800
0.001113,0.476099,1.161744,-0.003094
0.003151,0.484618,1.138613,-0.008305
0.003690,0.482314,1.144696,-0.009864
0.002193,0.484253,1.139617,-0.005793
0.004763,0.489745,1.125214,-0.012163
0.004495,0.488835,1.127562,-0.011543
0.001668,0.487684,1.130666,-0.004314
0.001096,0.492388,1.118686,-0.002753
0.004749,0.492331,1.118666,-0.011937
0.004422,0.494836,1.112441,-0.010946
0.000919,0.497290,1.106551,-0.002241
0.003901,0.498832,1.102702,-0.009427
0.004524,0.496288,1.108857,-0.011101
0.003808,0.504818,1.088502,-0.008879
0.001659,0.502012,1.095181,-0.003934
0.002804,0.502772,1.093346,-0.006618
0.003111,0.505955,1.085893,-0.007205
0.002390,0.506801,1.083967,-0.005507
0.003269,0.509583,1.077575,-0.007412
0.001053,0.513033,1.069896,-0.002340
0.004327,0.510549,1.075338,-0.009753
0.001868,0.510995,1.074435,-0.004199
0.003233,0.517963,1.059039,-0.006978
0.003383,0.517982,1.058994,-0.007302
0.000294,0.517804,1.059448,-0.000636
0.002818,0.521213,1.052106,-0.005970
0.000095,0.521719,1.051084,-0.000200
0.000045,0.524618,1.045010,-0.000094
0.003007,0.528853,1.036264,-0.006099
0.004436,0.529666,1.034558,-0.008955
0.000865,0.527240,1.039599,-0.001771
0.002439,0.533976,1.026042,-0.004805
0.003195,0.534828,1.024343,-0.006265
0.000777,0.531464,1.031056,-0.001552
0.004411,0.536830,1.020391,-0.008552
0.004497,0.538738,1.016708,-0.008627
0.002379,0.536365,1.021369,-0.004625
0.004733,0.540612,1.013122,-0.008986
0.004328,0.543116,1.008421,-0.008104
0.003593,0.544623,1.005642,-0.006673
0.000920,0.546411,1.002398,-0.001692
0.000836,0.546015,1.003129,-0.001540
0.003131,0.545881,1.003329,-0.005773
0.000633,0.551138,0.993821,-0.001135
0.004735,0.550069,0.995633,-0.008533
0.000804,0.550600,0.994785,-0.001445
0.002309,0.558243,0.981308,-0.003982
0.004576,0.555504,0.985991,-0.008007
0.003071,0.555353,0.986310,-0.005379
0.001969,0.562482,0.974087,-0.003319
0.002183,0.561466,0.975800,-0.003700
